	Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15				
188	Retina	General	Layers of the Retina	188_Retina.jpg	nil	# How often do photoreceptor outer segments renew?	‘- Every 10 days																																
189	Retina	General	Wavelengths	nil	nil	[...] is most sensitive to light at what wavelength? (Opsin)	nil	# Rhodopsin	- 510nm (green)	# L cone	- 564-580nm	# M cone	- 534-545nm	# S cone	- 420-440nm	[...] emits light at what wavelength? (Laser)	nil	# Excimer laser	- 193nm (UV)	# Argon retinal laser	- 532nm (green)	# Diode laser	- 810nm (IR)	# Nd:YAG laser	- 1064nm	# Femtosecond laser	- 1053nm												
190	Retina	General	Bruch's Membrane	"190_BruchsMembrane_1.gif, 190_BruchsMembrane_2.gif"	nil	# Bruch's membrane is the fusion of which two structures?	- Fusion of RPE and choriocapillaris	# What are the <underline>5 elements</underline> of Bruch’s membrane?	"- Basal lamina of RPE
- Outer collagenous zone
- Elastin fibers
- Inner collagenous zone
- Basal lamina of choriocapillaris 
(a.k.a. ""Elastin sandwich"")"	# What do you stain Bruch’s membrane with?	- PAS (+)	# Reminder:	- Choroidal neovascularization occurs within Bruch's membrane	# What are the outer and inner retinal barriers?	"- Outer = Bruch’s membrane
- Inner = Capillary basal lamina"																								
191	Retina	General	Fluorescein Angiography - Pharmacology	"191_Imaging_FA_1.png, 191_Imaging_FA_3.jpg, 191_Imaging_FA_4.jpg"	nil	# At what wavelength is fluorescein sodium absorbed?	- 465-490nm (blue)	# At what wavelength is fluorescein sodium emitted?	- 520-530nm (green)	# What percentage of fluorescein sodium is bound to plasma protein?	- 80%	# What percentage of fluorescein sodium is excreted by the kidneys?	- 90%																										
191	Retina	General	Fluorescein Angiography - Phases	"191_Imaging_FA_1.png, 191_Imaging_FA_3.jpg, 191_Imaging_FA_4.jpg"	nil	# What are the phases of FA? (6)	"1. Choroidal phase (10-15s)
2. Arterial phase (15-18s)
3. Early arteriovenous phase
4. Arteriovenous phase (20-25s)
5. Recirculation phase (30s +)
6. Late phase (fluorescein leaves retinal circulation by 10min)"																																
191	Retina	General	Fluorescein Angiography - Fluorescence	"191_Imaging_FA_1.png, 191_Imaging_FA_3.jpg, 191_Imaging_FA_4.jpg"	nil	# What are the 5 major types of hyperfluorescence?	"1. Autofluorescence (from lipofuscin)
2. Transmission defect
3. Leaking (increasing blurred border)
4. Pooling (accumulate in anatomic space)
5. Staining (fixed margins)"	# What are the 2 major types of hypofluorescence?	"1. Blocked fluorescence
2. Filling Defect"																														
191	Retina	General	Indocyanine Green Angiography (ICG)	191_Imaging_ICG_1.jpg	nil	# At what wavelength is indocyanine green absorbed?	- 805nm	# At what wavelength is indocyanine green emitted?	- 835nm	# What percentage of indocyanine green is bound to plasma protein?	"- 98% bound to albumin (stays in choroidal vessels, so better for choroidal circulation)"	# 5% iodine in ICG should be avoided in patients what type of allergy?	- Shellfish allergy																										
191	Retina	General	Optical Coherence Tomography (OCT)	"191_Imaging_OCT_1.jpg, 191_Imaging_OCT_2.jpg"	nil	# OCT: Information	"- Time domain: higher bandwidth = higher axial res
- Frequency/Spectral domain: faster, better signal-to-noise ratio"																																
191	Retina	General	Anatomical Information	nil	nil	# What is the size of the foveola and the foveal avascular zone?	"- 0.3mm and 0.5mm, respectively"	# What is the location of the fovea?	"- 4mm temporal, 0.8mm inferior to optic nerve"	# What is the definition of macula?	- >2 Ganglion cell layers (GCL)	# What is the definition of fovea?	- Only cones present	# What is the definition of foveola?	- Outer nuclear layer (ONL) and GCL absent																								
230	Retina	General	Electroretinogram (ERG): ERG Findings	230_ERG.jpg	nil	What is tested by [...]?	nil	# Early receptor potential?	‘- Outer segment of photoreceptor	# A-wave?	‘- Photoreceptors	# B-wave?	‘- Bipolar/Amacrine/Muller	# C-wave?	‘- RPE 	# D-wave?	‘- Off-center bipolar cells	# Oscillatory potential?	‘- Inner retina/amacrine cells	# Pattern ERG? (N95/P50)?	‘- RGC/Optic nerve function	# Electrooculography (EOG)?	‘- RPE resting potential																
