	Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15																
	General	nil	nil	nil	nil	nil	nil																																												
266	Neuro-Ophthalmology	Optic Disc Anomalies	Morning Glory Anomaly	266_OpticDiscAnomalies_MorningGlory.jpg	nil	# Features:	"‘- Vessels radiate from periphery of excavation with central glial tuft 
- Unilateral
- Female>male (2:1)
- Associated with myopia"	# Causes what retinal problem?	‘- Serous RD (33%)	# Associated with what systemic problems? (3)	"‘- Basal encephalocele
- Moyamoya
- PHACE syndrome"	# Compare with Papillorenal Syndrome	"‘- Dysplastic kidneys with “vacant” optic discs (excavation without central glial tuft)
- Associated with PAX2 mutation"																																						
266	Neuro-Ophthalmology	Optic Disc Anomalies	Optic Pit	"266_OpticDiscAnomalies_OpticPit_1.jpg , 266_OpticDiscAnomalies_OpticPit_2.jpg"	nil	# Features:	"‘- Gray-white depression
 - 85% unilateral"	# Location? 	‘- Inferotemporal	# Causes retinal problem?	‘- Serous RD (40%)	# Treatment?	"‘- Diamox, laser around ON, PPV+Gas"																																						
266	Neuro-Ophthalmology	Optic Disc Anomalies	Optic Nerve Coloboma	266_OpticDiscAnomalies_OpticNerveColoboma.jpg	nil	# Features:	"‘- Large anomalous disc with deep excavation
- Unilateral or bilateral"	# Location? 	‘- Inferonasal	"# Due to incomplete closure of embryonic fissure
# May have other colobomas"																																									
267	Neuro-Ophthalmology	Optic Disc Anomalies	Optic Disc Drusen	267_OpticDiscAnomalies_OpticDiscDrusen.jpg	nil	# Features:	"‘- Hyaline bodies in prelaminar optic nerve
- 75% bilateral"	# Inheritance? 	‘- Sporadic or AD	# Associated with?	"‘- Angioid streaks
- Retinitis pigmentosa
- Alagille’s syndrome"	# Diagnosis: 	"‘- B-scan: high reflectivity
- Autofluorescence
-  FA: early blockage, late staining
-  CT: calcification"																																						
267	Neuro-Ophthalmology	Optic Disc Anomalies	Melanocytoma	"267_OpticDiscAnomalies_Melanocytoma_1.png, 267_OpticDiscAnomalies_Melanocytoma_2.png"	nil	"# Aka magnocellular nevus (benign proliferation of melanocytes)
# Features:"	"‘- Deeply pigmented tumor with feathery borders
- No capsule, causing rapid growth, autoinfarction, and release of cells
- Rarely malignant"																																												
267	Neuro-Ophthalmology	Optic Disc Anomalies	Astrocytic Hamartoma	267_OpticDiscAnomalies_AstrocyticHamartoma.jpg	nil	# Features:	"‘- Yellow, mulberry-like lesion with occasional calcification"	# Associated with?	"‘- Tuberous sclerosis
- NF (rare)"																																										
268	Neuro-Ophthalmology	Optic Nerve Hypoplasia	De Morsier Syndrome	"268_OpticNerveHypoplasia_DeMorsierSyndrome_1.png, 268_OpticNerveHypoplasia_DeMorsierSyndrome_2.png"	nil	# Features:	"‘- Double-ring sign
- Bilateral ON hypoplasia"	# Associated with?	"‘- Absence of septum pellucidum
- Hypothalamus & pituitary deficiency (usu. growth hormone deficiency)
- Agenesis of corpus callosum"	# Work-up?	‘- Get MRI and endocrine consult	# What does the MRI show?	‘- Upside-down liberty bell sign																																						
268	Neuro-Ophthalmology	Optic Nerve Hypoplasia	Aicardi Syndrome	nil	nil	# Triad?	"‘- Infantile spasms or seizures
- Agenesis of corpus callosum
- Pathognomic chorioretinal lacunae"	# Inheritance?	‘- XD (X-linked dominant; lethal in males)																																										
268	Neuro-Ophthalmology	Optic Nerve Hypoplasia	Superior Segmental ON Hypoplasia	nil	nil	# Features:	"‘- Central retinal artery arise from superior ON
- Dense inferior VF defects"	# Etiology?	‘- Mother with diabetes																																										
	Pediatrics/Strabismus	nil	nil	nil	nil	nil	nil																																												
	Oculoplastics	nil	nil	nil	nil	nil	nil																																												
	Cornea	nil	nil	nil	nil	nil	nil																																												
	Glaucoma	nil	nil	nil	nil	nil	nil																																												
191	Retina	Anatomy/Imaging	Retinal Anatomy	"188_Retina.jpg, 190_BruchsMembrane_1.gif, 190_BruchsMembrane_2.gif"	nil	# How often do photoreceptor outer segments renew?	‘- Every 10 days	# Definition of macula?	- >2 Ganglion cell layers (GCL)	# Definition of fovea?	- Only cones present	# Definition of foveola?	- Outer nuclear layer (ONL) and GCL absent	# Location of the fovea?	"- 4mm temporal, 0.8mm inferior with respect to the optic nerve"	# Size of the foveola and the foveal avascular zone?	"- 0.3mm and 0.5mm, respectively"	What wavelength are the following opsins most sensitive to?	nil	# Rhodopsin?	- 510nm (green)	# L cone opsin?	- 564-580nm	# M cone opsin?	- 534-545nm	# S cone opsin?	- 420-440nm	# What are the <u>5 elements</u> of Bruch’s membrane?	"- Basal lamina of RPE
- Outer collagenous zone
- Elastin fibers
- Inner collagenous zone
- Basal lamina of choriocapillaris 
(a.k.a. ""Elastin sandwich"")"	# What do you stain Bruch’s membrane with on histology?	- PAS (+)	# What are the outer and inner retinal barriers?	"- Outer = Bruch’s membrane
- Inner = Retinal capillary tight junctions"																		
